case,Etot (kmol/y),Fug-stora (kmol/y),Fug-storb (kmol/y),Pre-stora (kmol/y),Pre-storb (kmol/y),Ion-stora (kmol/y),Ion-storb (kmol/y),Fug-Abs (kmol/y),Fug-Sea (kmol/y),Pre-Abs (kmol/y),Pre-Sea (kmol/y),Ion-Abs (kmol/y),Ion-Sea (kmol/y),Decay (kmol/y),Volat (kmol/y),Fug-Sed (kmol/y),Pre-Sed (kmol/y),Ion-Sed (kmol/y),
"3547-33-9",  13.057    ,  0.0000    ,-0.38144    ,  0.0000    ,-0.22621E-02, 0.17414E-07,  0.0000    ,-0.29879    , -2.5082    ,-0.13333E-05,-0.43192E-03,-0.12040E-07,-0.14423E-06, -9.6342    ,-0.21572    ,-0.17231E-01,-0.17416E-06,  0.0000    ,
"4904-61-4",  2457.1    ,  0.0000    , -1148.1    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -11.743    , -75.557    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -610.53    , -610.30    , -1.0457    ,  0.0000    ,  0.0000    ,
"5292-45-5",  22.072    ,  0.0000    ,-0.34018E-01,  0.0000    ,-0.23653E-02,  0.0000    ,  0.0000    ,-0.48462    , -3.0772    ,-0.12991E-05,-0.44656E-03,  0.0000    ,  0.0000    , -18.456    ,-0.17355E-01,-0.15315E-03,-0.96187E-07,  0.0000    ,
"583-78-8",  39.571    ,  0.0000    , -3.8216    ,  0.0000    ,-0.43747E-02,  0.0000    , -7.1174    ,-0.92497    , -8.0358    ,-0.22614E-05,-0.48687E-03,-0.91561    , -14.562    , -2.2249    , -1.9439    ,-0.20239E-01,-0.62065E-06,  0.0000    ,
"611-06-3",  277.54    ,  0.0000    , -90.609    ,  0.0000    ,-0.55963E-01,  0.0000    ,  0.0000    , -9.6912    , -117.33    ,-0.15065E-04,-0.74177E-03,  0.0000    ,  0.0000    , -8.4758    , -51.041    ,-0.35064    ,-0.51835E-04,  0.0000    ,
"629-40-3",  7.1882    ,  0.0000    , -1.4733    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.41521    , -4.3657    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.82536    ,-0.10868    ,-0.39991E-04,  0.0000    ,  0.0000    ,
"6850-63-1",  35.859    ,  0.0000    ,-0.44108E-01,  0.0000    ,  0.0000    ,  0.0000    , -10.210    ,-0.39721    ,-0.32422    ,  0.0000    ,  0.0000    , -1.3181    , -21.509    ,-0.82274    , -1.2321    ,-0.43797E-04,  0.0000    ,  0.0000    ,
"75-98-9",  536.20    ,  0.0000    ,-0.18590    ,  0.0000    ,-0.83376E-01,  0.0000    , -146.99    , -10.372    , -6.3933    ,-0.32003E-04,-0.41417E-02, -22.261    , -347.86    ,  0.0000    , -2.0134    ,-0.60981E-04,-0.14642E-04,  0.0000    ,
"7785-26-4",  77.306    ,  0.0000    , -3.6330    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.52642    , -3.3326    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -25.235    , -44.573    ,-0.80760E-02,  0.0000    ,  0.0000    ,
"78-59-1",  2951.9    ,  0.0000    , -60.006    ,  0.0000    ,-0.34736    ,  0.0000    ,  0.0000    , -60.837    , -525.46    ,-0.17433E-04,-0.25951E-04,  0.0000    ,  0.0000    , -1806.8    , -498.14    ,-0.71701E-01,-0.14100E-03,  0.0000    ,
