,2012/12/31_Cbulk,2013/12/31_Cbulk,
   9517951,    0.88022E-09,    0.14735E-08,
   9518112,    0.37184E-09,    0.63803E-09,
   9500283,    0.17699E-08,    0.25743E-08,
   9592903,    0.54740E-09,    0.21525E-08,
   9000850,    0.66547E-09,    0.16588E-08,
   9500276,    0.17413E-08,    0.25666E-08,
   9592840,    0.59699E-09,    0.24256E-08,
   9000980,    0.12533E-09,    0.17745E-09,
   9500277,    0.24164E-09,    0.37845E-09,
   9503678,    0.25684E-08,    0.41873E-08,
   9001234,    0.15483E-09,    0.41617E-09,
   9518292,    0.26701E-09,    0.46323E-09,
   9517825,    0.13268E-08,    0.31903E-08,
   9593225,    0.18848E-08,    0.27922E-08,
   9504555,    0.22953E-09,    0.21919E-09,
   9500410,    0.17485E-09,    0.18169E-09,
   9504039,    0.32178E-09,    0.59438E-09,
   9500284,    0.21160E-07,    0.10180E-06,
   9518452,    0.17529E-09,    0.19127E-09,
   9518124,    0.81839E-09,    0.74978E-09,
   9500255,    0.23790E-09,    0.35914E-09,
   9500213,    0.14908E-09,    0.20082E-09,
   9517479,    0.86075E-09,    0.12313E-08,
   9517816,    0.51789E-09,    0.80673E-09,
   9592784,    0.13213E-08,    0.10184E-08,
   9517785,    0.55005E-09,    0.72998E-09,
   9500294,    0.68029E-09,    0.17291E-08,
   9517493,    0.12492E-08,    0.37659E-08,
   9000978,    0.40134E-09,    0.58864E-09,
   9518072,    0.18158E-08,    0.28356E-08,
   9517402,    0.74823E-09,    0.12148E-08,
   9518590,    0.12411E-09,    0.18224E-09,
   9592868,    0.65010E-09,    0.88217E-09,
   9517855,    0.71549E-09,    0.17979E-08,
   9517777,    0.80903E-09,    0.21162E-08,
   9500264,    0.64312E-08,    0.38120E-08,
   9517049,    0.59129E-09,    0.98950E-09,
   9504560,    0.39308E-09,    0.57537E-09,
   9518570,    0.34555E-09,    0.90108E-09,
   9503062,    0.27350E-09,    0.47032E-09,
   9593223,    0.22764E-09,    0.46772E-09,
   9593052,    0.15255E-08,    0.16562E-08,
   9517948,    0.88009E-09,    0.15061E-08,
   9517534,    0.21300E-07,    0.69067E-07,
   9518497,    0.14473E-09,    0.25798E-09,
   9517447,    0.20512E-07,    0.70196E-07,
   9503380,    0.13051E-07,    0.19093E-07,
   9517881,    0.18236E-07,    0.72859E-07,
   9500254,    0.47612E-09,    0.78412E-09,
   9503244,    0.11253E-09,    0.23772E-09,
   9518640,    0.56997E-09,    0.61382E-09,
   9517606,    0.39570E-09,    0.72723E-09,
   9517729,    0.72849E-09,    0.17802E-08,
   9591828,    0.20671E-08,    0.19471E-08,
   9517705,    0.19752E-08,    0.33218E-08,
   9517697,    0.23612E-07,    0.48876E-07,
   9518577,    0.18010E-09,    0.89100E-10,
   9518332,    0.65126E-09,    0.20019E-08,
   9503061,    0.32300E-09,    0.52893E-09,
   9518179,    0.49984E-09,    0.11001E-08,
   9504337,    0.11451E-09,    0.12995E-09,
   9517812,    0.18473E-07,    0.56410E-07,
   9518105,    0.90826E-09,    0.16065E-08,
   9518732,    0.22464E-09,    0.29838E-09,
   9503800,    0.36805E-09,    0.62952E-09,
   9518358,    0.11519E-08,    0.29384E-08,
   9517602,    0.70390E-09,    0.12065E-08,
   9517798,    0.83615E-09,    0.21701E-08,
   9517585,    0.14986E-08,    0.42182E-08,
   9500261,    0.61736E-08,    0.31131E-08,
   9518535,    0.10108E-09,    0.14833E-09,
   9593033,    0.50102E-09,    0.13906E-08,
   9591133,    0.63838E-09,    0.33160E-08,
   9500246,    0.35021E-09,    0.73378E-09,
   9504353,    0.24446E-09,    0.23033E-09,
   9503199,    0.30859E-09,    0.43543E-09,
   9000917,    0.28606E-09,    0.16076E-08,
   9504667,    0.11833E-09,    0.13419E-09,
   9517680,    0.30180E-07,    0.14616E-06,
   9518044,    0.25336E-08,    0.14993E-08,
   9517636,    0.31766E-08,    0.25249E-07,
   9517289,    0.65444E-09,    0.94025E-09,
   9500439,    0.19137E-09,    0.20352E-09,
   9518043,    0.93964E-08,    0.11771E-07,
   9517853,    0.87833E-09,    0.13085E-08,
   9593213,    0.54020E-09,    0.18041E-08,
   9518676,    0.76072E-09,    0.10421E-08,
   9518257,    0.57441E-09,    0.87875E-09,
   9593174,    0.38743E-09,    0.88010E-09,
   9593219,    0.34277E-09,    0.82957E-09,
   9502925,    0.36305E-09,    0.35622E-09,
   9518276,    0.46266E-08,    0.91668E-08,
   9503453,    0.22473E-08,    0.34049E-08,
   9518015,    0.19969E-09,    0.31558E-09,
   9592893,    0.56412E-09,    0.22529E-08,
   9502863,    0.16671E-08,    0.21389E-08,
   9592147,    0.12112E-08,    0.10014E-08,
   9500394,    0.11616E-08,    0.88330E-09,
   9504225,    0.35749E-09,    0.33097E-09,
   9591171,    0.40590E-09,    0.56647E-09,
   9503131,    0.85828E-09,    0.14151E-08,
   9500251,    0.55429E-09,    0.10363E-08,
   9517317,    0.11666E-08,    0.17928E-08,
   9516959,    0.75768E-09,    0.12492E-08,
   9517058,    0.43797E-09,    0.71314E-09,
   9518190,    0.11332E-08,    0.11509E-08,
   9500290,    0.17774E-09,    0.23285E-09,
   9517110,    0.83706E-09,    0.16827E-08,
   9501276,    0.10784E-09,    0.18049E-09,
   9517078,    0.13109E-08,    0.19832E-08,
   9592979,    0.50911E-09,    0.54353E-09,
   9518478,    0.76241E-09,    0.69792E-09,
   9500244,    0.10379E-08,    0.10247E-08,
   9518000,    0.64484E-09,    0.30719E-08,
   9517102,    0.53535E-09,    0.97354E-09,
   9503181,    0.19635E-09,    0.26967E-09,
   9593226,    0.49819E-09,    0.15360E-08,
   9503422,    0.25317E-08,    0.79259E-08,
   9503091,    0.39330E-09,    0.51179E-09,
   9516979,    0.87510E-09,    0.94691E-09,
   9502864,    0.17773E-09,    0.28353E-09,
   9504502,    0.18548E-09,    0.31738E-09,
   9593084,    0.34827E-09,    0.87137E-09,
   9503288,    0.16755E-09,    0.26403E-09,
   9518231,    0.46561E-08,    0.31389E-08,
   9592969,    0.98680E-09,    0.28007E-08,
   9517020,    0.56437E-09,    0.10546E-08,
   9592908,    0.27622E-08,    0.53332E-08,
   9517184,    0.12093E-08,    0.16802E-08,
   9593198,    0.10259E-08,    0.14357E-08,
   9517000,    0.13178E-08,    0.19244E-08,
   9593131,    0.36385E-09,    0.88936E-09,
   9503011,    0.39208E-09,    0.55883E-09,
   9517692,    0.16941E-08,    0.38310E-08,
   9593015,    0.10295E-08,    0.13618E-08,
   9518708,    0.36796E-09,    0.97290E-09,
   9517993,    0.20561E-09,    0.39396E-09,
   9592997,    0.43793E-09,    0.11359E-08,
   9504583,    0.20926E-09,    0.52287E-09,
   9504577,    0.25582E-09,    0.27955E-09,
   9592901,    0.52650E-09,    0.55577E-09,
   9518335,    0.29078E-09,    0.80827E-09,
   9503254,    0.36223E-09,    0.47978E-09,
   9592938,    0.54885E-09,    0.18209E-08,
   9517654,    0.13738E-08,    0.19929E-08,
   9503242,    0.49408E-09,    0.71542E-09,
   9517657,    0.45255E-09,    0.10707E-08,
   9591199,    0.11153E-08,    0.93851E-09,
   9517129,    0.46370E-09,    0.79617E-09,
   9517768,    0.47541E-08,    0.45808E-08,
   9504277,    0.14748E-09,    0.17570E-09,
   9518144,    0.87051E-09,    0.17806E-08,
   9503189,    0.11130E-08,    0.14821E-08,
   9518234,    0.63357E-09,    0.14515E-08,
   9518825,    0.12273E-09,    0.19982E-09,
   9517540,    0.66028E-09,    0.10284E-08,
   9592834,    0.93403E-09,    0.22073E-08,
   9518310,    0.97785E-09,    0.28576E-08,
   9500259,    0.49095E-08,    0.35066E-08,
   9518051,    0.87933E-09,    0.21551E-08,
   9518710,    0.32729E-09,    0.41510E-09,
   9518088,    0.13262E-07,    0.15390E-07,
   9503345,    0.28710E-08,    0.85622E-08,
   9518496,    0.29206E-09,    0.40454E-09,
   9500250,    0.84366E-09,    0.11676E-08,
   9517763,    0.59910E-09,    0.14346E-08,
   9518821,    0.61030E-09,    0.47190E-09,
   9517394,    0.77691E-09,    0.15747E-08,
   9592940,    0.89714E-09,    0.13172E-08,
   9518474,    0.36233E-09,    0.39138E-09,
   9503167,    0.39994E-09,    0.46287E-09,
   9593142,    0.40392E-09,    0.10290E-08,
   9504475,    0.18864E-09,    0.27288E-09,
   9500249,    0.79190E-09,    0.11255E-08,
   9500847,    0.25144E-09,    0.37429E-09,
   9500623,    0.36032E-09,    0.37179E-09,
   9517590,    0.58126E-09,    0.89091E-09,
   9593027,    0.36629E-09,    0.94989E-09,
   9517659,    0.12912E-08,    0.36966E-08,
   9517516,    0.61585E-09,    0.10176E-08,
   9517646,    0.38792E-09,    0.10484E-08,
   9503702,    0.30132E-08,    0.65790E-08,
   9593112,    0.45013E-09,    0.10204E-08,
   9518146,    0.38295E-09,    0.16019E-08,
   9518104,    0.51662E-08,    0.42743E-08,
   9518447,    0.57905E-09,    0.33590E-09,
   9518194,    0.62373E-09,    0.15234E-08,
   9503260,    0.96909E-09,    0.14964E-08,
