CAS,Degredation rate in sediment,Degredation rate in soil,Degredation rate in water,Koc,Vapor pressure,Water solubility,log Kow,pka1,pka2,pkb1,pkb2
94-74-6,1.13259330065e-07,1.13259330065e-06,1.13259330065e-06,-9999,0.018383,0.00416837802811,2.535,3.05,-9999,-9999,-9999
29122-68-7,1.13259330065e-07,3.50074292929e-07,1.13259330065e-06,-9999,1.0275385e-07,0.0568221070812,0.215,13.81,14.75,4.51,14.75
41859-67-0,1.13259330065e-07,1.13259330065e-06,1.13259330065e-06,-9999,2.867898e-08,3.38e-06,3.5,3.99,14.57,14.95,-9999
90357-06-5,3.50074292929e-08,1.13259330065e-07,1.13259330065e-06,-9999,9.55502541e-10,2.23872113946e-05,2.53,11.0,13.41,-9999,-9999
83881-51-0,1.13259330065e-07,1.13259330065e-07,3.50074292929e-07,-9999,3.648617e-08,0.000592131653381,2.345,2.97,-9999,6.67,12.03
75847-73-3,1.13259330065e-07,3.50074292929e-07,1.13259330065e-06,-9999,1.41298e-10,0.000485,1.84,3.07,-9999,8.45,-9999
50-27-1,1.13259330065e-07,3.50074292929e-07,1.13259330065e-06,-9999,2.7156245105e-06,0.000176209299906,2.7018,10.0,15.0,-9999,-9999
54-31-9,1.13259330065e-07,3.50074292929e-07,1.13259330065e-06,-9999,6.94949e-09,0.00039810717158,2.265,3.5,9.01,-9999,-9999
60142-96-3,3.50074292929e-07,1.13259330065e-06,1.13259330065e-06,-9999,0.0406280195951,0.0262,0.4972815,3.8,-9999,3.28,-9999
58-93-5,1.13259330065e-07,3.50074292929e-07,1.13259330065e-06,-9999,1.30487e-08,0.00362732585477,-0.07,8.88,10.15,-9999,-9999
78649-41-9,1.13259330065e-07,3.50074292929e-07,1.13259330065e-06,-9999,5.70000000203e-18,0.000163,-2.58,11.8,12.58,-9999,-9999
73334-07-3,1.13259330065e-07,3.50074292929e-07,3.50074292929e-07,-9999,7.70000000001e-15,3e-05,-2.085,10.61,12.49,-9999,-9999
298-46-4,3.50074292929e-08,1.13259330065e-07,3.50074292929e-07,-9999,6.2502e-06,7.47e-05,2.365,14.3,-9999,13.9,-9999
65277-42-1,3.50074292929e-08,1.13259330065e-07,3.50074292929e-07,-9999,2.0122265e-11,4.96311907271e-07,3.675,-9999,-9999,7.6,9.85
22071-15-4,1.13259330065e-07,3.50074292929e-07,1.13259330065e-06,-9999,0.000128109,0.000474,3.0834,4.07,-9999,-9999,-9999
81103-11-9,1.13259330065e-07,1.13259330065e-06,1.13259330065e-06,-9999,3.09256e-23,1.02374426782e-06,3.14,12.7,13.26,5.45,-9999
113665-84-2,1.13259330065e-07,3.50074292929e-07,1.13259330065e-06,-9999,0.00025822685,0.000151359413355,4.2,-9999,-9999,13.66,-9999
56-75-7,3.50074292929e-08,1.13259330065e-07,1.13259330065e-06,-9999,2.0901166375e-06,0.0089125093925,1.02,9.3,13.17,-9999,-9999
84057-84-1,3.50074292929e-08,1.13259330065e-07,1.13259330065e-06,-9999,1.0716765e-06,0.000545,1.68,-9999,-9999,8.54,-9999
137-58-6,3.50074292929e-08,1.13259330065e-07,3.50074292929e-07,-9999,0.000642239,0.00290509921058,2.345,13.06,-9999,6.1,-9999
846-49-1,3.50074292929e-09,1.13259330065e-08,1.13259330065e-08,-9999,2.6609485e-09,7.41310240683e-05,2.48,11.31,14.96,13.03,-9999
520-85-4,3.50074292929e-08,1.13259330065e-07,3.50074292929e-07,-9999,2.57269e-08,6.45e-05,3.44,13.86,-9999,-9999,-9999
657-24-9,1.13259330065e-07,3.50074292929e-07,3.50074292929e-06,-9999,2.4111,0.338313849965,-1.37,-9999,-9999,2.1,11.02
37350-58-6,1.13259330065e-07,3.50074292929e-07,3.50074292929e-07,-9999,6.46952e-05,0.0303324980364,1.85785,13.89,-9999,4.5,-9999
604-75-1,1.13259330065e-08,3.50074292929e-08,3.50074292929e-08,-9999,6.927264e-09,0.000306417410714,2.275,11.49,15.07,12.15,-9999
13523-86-9,1.13259330065e-07,3.50074292929e-07,1.13259330065e-06,-9999,0.00012583656,0.0268191519349,1.81785,14.07,-9999,4.5,-9999
525-66-6,3.50074292929e-08,1.13259330065e-07,1.13259330065e-06,-9999,0.00034877676,0.00409446693657,3.04,13.9,-9999,4.5,-9999
3930-20-9,3.50074292929e-08,1.13259330065e-07,3.50074292929e-07,-9999,1.24461e-07,0.146859052025,0.32,8.28,15.44,3.95,-9999
723-46-6,1.13259330065e-07,1.13259330065e-06,1.13259330065e-06,-9999,8.669395e-06,0.00493524952622,0.77,5.68,-9999,12.2,-9999
27203-92-5,3.50074292929e-07,1.13259330065e-06,1.13259330065e-06,-9999,0.01037895905,0.00539144961652,2.545,14.2,-9999,4.76,-9999
738-70-5,1.13259330065e-07,3.50074292929e-07,1.13259330065e-06,-9999,5.29008e-07,0.0027554851376,1.15215,-9999,-9999,6.96,-9999
50-28-2,3.50074292929e-07,1.13259330065e-06,1.13259330065e-06,-9999,3.62826335e-05,3.23363559602e-05,3.78,10.0,-9999,-9999,-9999
