MolMass,bp,mp,pv,ks,kac,kba,kn,kds,kde,kdw,kow0,kaw0,dhaw,
383-07-3,653.3500,325.9700,85.51000,2.4931210E-03,8.2899998E-09,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,8.040000,-1.348578,-999,
307-35-7,502.1100,154.1500,51.85350,551.8620,1.0232900E-04,-999,-999,-999,3.5000000E-06,3.5000000E-06,3.5000000E-06,6.920000,1.537510,55862.00,
68156-06-9,464.1200,161.4150,-0.1149998,106.5243,1.7500000E-06,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,7.705000,1.144204,-999,
86386-73-4,306.2800,528.8000,205.4350,1.6300000E-14,11.75264,-999,-999,0.0000000E+00,0.0000000E+00,0.0000000E+00,0.0000000E+00,0.6000000,-11.56048,201470.0,
145022-44-2,261.2400,-999,-999,-999,3830.000,-999,-999,-999,-999,-999,-999,-999,-999,-999,
464-36-8,554.0740,145.7350,-35.95500,1043.245,9.4900003E-08,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,8.110001,4.008295,-999,
141573-95-7,204.1800,288.4500,17.35500,1.8177999E-02,16.20000,-999,-999,-999,3.5000000E-06,3.5000000E-06,3.5000000E-06,1.610000,-3.919809,80959.00,
335-93-3,520.9300,160.1250,40.00000,546.9319,1.3040099E-04,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,4.170000,-4.688932,-999,
329-01-1,187.1200,164.5000,-21.49000,268.5995,0.8317637,1.6595492E-05,-999,-999,3.5000000E-06,3.5000000E-06,3.5000000E-06,3.560000,-1.575608,72612.00,
647-42-7,364.1000,174.1000,-20.02850,50.65400,6.0000001E-03,-999,-999,-999,3.3999999E-08,3.3999999E-08,3.3999999E-08,4.310000,-1.470000,68363.00,
375-81-5,352.0900,119.4750,-23.99500,1599.864,3.5976600E-03,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,4.135000,2.179799,-999,
68155-54-4,716.1080,173.6050,-58.26500,1677.857,9.9999997E-10,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,7.220000,2.328455,-999,
101513-70-6,228.9800,257.9400,54.07600,1.473900,0.2344229,-999,-999,-999,1.1300000E-07,1.1300000E-07,1.1300000E-07,3.500000,-2.117119,49774.00,
199119-58-9,459.3400,-999,-999,-999,0.2180000,-999,-999,-999,-999,-999,-999,-999,-999,-999,
25268-77-3,611.2700,292.0050,72.48500,0.8020021,1.2794433E-02,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,6.870000,-0.2180000,-999,
38006-74-5,634.7800,344.1600,178.3350,2.6100000E-07,2.6985700E-04,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,4.015000,-6.112417,-999,
120885-29-2,363.0550,180.9100,15.26000,83.35000,5.0810454E-03,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,4.150000,-0.1500000,-999,
76-19-7,188.0200,-36.84999,-136.3900,781000.0,0.1412538,-999,-999,-999,0.0000000E+00,0.0000000E+00,0.0000000E+00,2.774500,2.819500,21518.00,
743456-60-2,370.2110,336.4950,112.8950,3.3999998E-03,0.6806930,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,1.770000,-4.436475,-999,
68555-75-9,457.2100,260.1650,75.81000,2.0131622E-02,1.2436950E-03,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,4.260000,-3.939826,-999,
68259-11-0,281.0780,227.0750,86.87000,322.6502,64.35936,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,1.630000,-7.198214,-999,
15899-29-3,364.0620,177.9100,20.43000,107.1286,6.9466191E-03,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,4.600000,1.434277,-999,
6014-75-1,732.2280,269.8400,47.86500,0.2559782,9.9999997E-10,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,9.930000,2.312934,-999,
173350-69-1,486.0760,131.2350,-45.93000,2059.825,3.6500001E-06,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,6.715000,3.507514,-999,
2395-00-8,452.1600,292.9200,107.7300,16.93192,0.4443117,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,2.395000,-4.688932,-999,
6130-43-4,381.0930,176.0000,164.0000,17.06522,867.0000,-999,-999,-999,-999,-999,-999,-999,-999,-999,
68140-19-2,180.1400,70.46000,-83.30000,17198.54,0.3567670,-999,-999,-999,2.1400000E-08,9.6500003E-08,1.9300001E-07,3.140000,0.8930000,-999,
93957-50-7,307.3700,439.2700,167.4450,3.9900001E-06,1.4338091E-03,-999,-999,-999,1.1300000E-07,1.1300000E-07,1.1300000E-07,5.030000,-7.441221,94628.00,
382-26-3,232.0700,22.54001,-85.50450,110560.4,0.1860000,-999,-999,-999,1.1300000E-06,1.1300000E-06,1.1300000E-06,3.069100,0.8144894,36507.00,
125051-32-3,-999,-999,161.0000,0.0000000E+00,-999,-999,-999,-999,-999,-999,-999,9.500000,-999,-999,
26650-09-9,405.1800,221.2500,12.38640,14.66300,7.3532801E-04,-999,-999,-999,3.4999999E-07,3.4999999E-07,3.4999999E-07,5.360000,-1.087800,55957.00,
1187-93-5,166.0200,2.980011,-143.7750,214613.0,2.529876,-999,-999,-999,3.4999999E-07,3.4999999E-07,3.4999999E-07,2.200000,0.4095500,33961.00,
53826-13-4,578.1200,272.5700,71.38000,0.4030000,2.7350001E-07,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,7.310000,2.857500,-999,
865-86-1,564.1370,213.0000,37.40000,3.226393,1.4100000E-06,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,7.090000,-0.3648432,-999,
17741-60-5,618.1850,231.0000,43.91000,4.519616,1.2100000E-08,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,8.160000,1.191951,-999,
678-39-7,464.1220,183.0000,23.50000,13.00000,7.2601797E-05,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,5.750000,2.229000,-999,
88374-05-4,232.2300,292.0000,68.40450,0.1231692,0.1517461,-999,-999,-999,1.1300000E-06,1.1300000E-06,1.1300000E-06,3.230000,-4.167941,54483.00,
57678-07-6,744.1320,270.6500,110.3000,6.1894283E-02,1.8000000E-09,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,6.655000,-3.394202,-999,
54910-89-3,309.3300,347.2300,29.77350,3.3591599E-03,0.1552032,-999,-999,0.0000000E+00,2.2000000E-07,2.2000000E-07,2.2000000E-07,4.310000,-5.268300,93728.00,
756-13-8,316.0460,62.40000,-68.80000,55779.14,0.1295697,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,3.775000,2.290292,-999,
307-55-1,614.1010,248.0000,89.92000,1.046435,2.1100000E-07,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,7.490000,3.450000,-999,
307-24-4,314.0540,157.0000,23.07000,193.3169,9.0127289E-02,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,3.480000,-2.732805,-999,
111493-74-4,222.1670,241.7950,68.28500,3.886336,7.617693,-999,-999,-999,3.4300001E-08,1.5400001E-07,3.0900000E-07,1.945000,-1.938250,-999,
661-95-0,309.8400,97.92999,-5.178500,6265.100,0.1584893,-999,-999,-999,1.1300000E-07,1.1300000E-07,1.1300000E-07,3.930000,1.540371,40087.00,
16486-94-5,564.0930,240.9150,59.06500,2.544835,1.2600000E-06,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,7.320000,-0.8511883,-999,
98-17-9,162.1100,177.8500,29.90000,81.17970,36.83302,-999,-999,0.0000000E+00,3.4900001E-09,3.4900001E-09,3.4900001E-09,2.710000,-3.732369,51363.00,
119895-68-0,186.1100,241.5100,49.53200,2.986700,4.476761,-999,-999,-999,1.1300000E-06,1.1300000E-06,1.1300000E-06,2.120000,-5.597589,12826.00,
45298-90-6,499.1200,224.1400,61.45000,1.421500,2.0816601E-04,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,3.630000,-3.037056,-999,
354-32-5,132.4700,-19.62000,-76.81000,501707.9,758.0000,-999,-999,-999,1.1300000E-07,1.1300000E-07,1.1300000E-07,1.580000,-2.275800,5111.400,
914637-49-3,342.1080,193.5750,37.76000,18.80000,7.8191683E-03,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,4.595000,-2.616838,-999,
40143-76-8,400.0320,231.1300,85.47500,7.3865913E-02,1.8621011E-02,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,2.790000,-5.287283,-999,
507448-65-9,197.1600,201.5600,-7.951000,48.21800,127.9063,-999,-999,-999,3.5000000E-06,3.5000000E-06,3.5000000E-06,2.070000,-4.646880,71789.00,
423-82-5,625.3000,309.9350,89.77499,1.1800000E-02,7.1004574E-04,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,7.455000,-1.865224,-999,
308-48-5,454.0580,102.0000,-87.30000,5019.573,7.0500000E-06,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,6.890000,3.332297,-999,
121451-05-6,-999,-999,-22.70000,6.3000001E-02,-999,-999,-999,-999,-999,-999,1.7800000E-06,3.400000,-999,-999,
68555-77-1,384.2600,267.0050,86.94500,0.3293054,0.3207464,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,3.525000,-4.343950,-999,
67939-97-3,1121.480,385.0000,126.6350,2.7500000E-06,9.9999997E-10,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,7.620000,-7.803417,-999,
163702-08-7,250.0640,20.03000,-95.90000,120656.4,0.1389164,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,3.230000,1.605000,-999,
