CAS,50centile,95centile,99centile,
148757-89-5,5.6031e-20,2.2101539999999978e-18,1.062050599999999e-17,
4021-47-0,1.1235999999999999e-08,2.433979999999999e-07,8.119157479999996e-07,
132182-92-4,7.730500000000001e-09,9.100157999999994e-08,2.1721767599999973e-07,
136239-66-2,1.6973000000000002e-08,2.1338979999999994e-07,8.651430359999982e-07,
64191-44-2,4.2296e-11,1.342103999999999e-09,7.018495319999996e-09,
34455-29-3,3.33105e-09,6.220145999999994e-08,2.579262799999998e-07,
187592-70-7,2.15525e-09,4.787273999999999e-08,1.5032125199999992e-07,
870778-34-0,7.331e-09,8.894575999999998e-08,2.1034903599999997e-07,
105812-81-5,2.1541500000000003e-07,6.326367999999997e-06,2.589711759999997e-05,
919005-14-4,1.3775e-08,3.444343999999998e-07,1.455542119999999e-06,
171198-24-6,6.8448499999999996e-09,1.984028e-07,8.754492559999992e-07,
1861-40-1,2.6817499999999996e-10,1.2825219999999993e-07,1.3592433599999977e-06,
464-36-8,1.1747e-11,3.8784399999999965e-10,2.261471919999996e-09,
757124-72-4,2.15195e-08,4.1176259999999977e-07,1.6066621999999988e-06,
15899-29-3,7.5282e-09,8.845325999999996e-08,2.1076421599999972e-07,
335-35-3,5.4075e-09,6.919993999999998e-08,1.7232480799999997e-07,
3330-14-1,3.6610000000000003e-11,4.967475999999998e-10,1.1801891999999998e-09,
163702-06-5,9.447349999999998e-10,1.0984319999999994e-08,2.6181501599999956e-08,
152914-73-3,3.7402e-09,1.1649779999999993e-07,5.719734799999997e-07,
78560-45-9,5.44695e-11,1.7269819999999987e-09,8.877786559999994e-09,
61340-74-7,8.57985e-09,1.0096037999999993e-07,2.4092318799999967e-07,
69377-81-7,0.0,3.89999e-08,1.0516780399999997e-07,
943913-15-3,1.42195e-11,5.371513999999995e-10,2.400877959999998e-09,
756-12-7,1.1129499999999999e-10,1.310419999999999e-09,4.821997119999997e-09,
4151-50-2,2.1537999999999998e-10,6.456865999999999e-09,2.4978010799999974e-08,
119895-68-0,6.26505e-10,1.635987999999999e-08,6.461555479999993e-08,
743456-60-2,1.95515e-08,3.7094539999999975e-07,1.5169994799999988e-06,
86-73-7,8.821150000000002e-09,1.393138e-07,5.429891559999996e-07,
65150-93-8,2.1630499999999997e-16,8.138903999999993e-15,3.907397559999997e-14,
375-81-5,6.91715e-09,8.145072e-08,1.9204641199999964e-07,
52299-26-0,5.620900000000001e-09,1.6353099999999998e-07,7.145383239999993e-07,
335-77-3,1.49985e-09,2.8383099999999956e-08,6.017860479999995e-08,
13417-01-1,5.2589e-10,1.6651279999999995e-08,8.960975199999991e-08,
79780-39-5,7.9137e-11,2.439354e-09,1.0907994399999997e-08,
40143-76-8,1.72445e-08,3.412659999999997e-07,1.423174959999999e-06,
335-71-7,3.2589500000000004e-10,9.457189999999998e-09,3.6020274799999956e-08,
3330-15-2,8.7386e-09,1.0163699999999997e-07,2.4277319199999956e-07,
163702-07-6,6.73815e-09,7.795861999999996e-08,1.8670645999999966e-07,
1696259-82-1,7.9022e-13,2.9910519999999974e-11,1.4295815199999988e-10,
68555-75-9,7.72455e-09,2.1722659999999994e-07,9.155611759999991e-07,
80475-32-7,9.4887e-09,2.446651999999998e-07,1.0490958239999989e-06,
1870-13-9,3.0615499999999996e-14,1.2033879999999988e-12,5.780730679999995e-12,
307-35-7,1.63695e-12,6.008299999999994e-11,2.3595212399999965e-10,
307-55-1,4.3662e-11,1.204077999999999e-09,4.3269213999999986e-09,
24448-09-7,1.0416e-07,2.5604079999999995e-06,5.019976799999999e-06,
338-65-8,3.6818e-08,4.295255999999998e-07,1.5525878399999982e-06,
432-08-6,3.8731500000000004e-17,1.4497259999999987e-15,6.959397679999994e-15,
1897-52-5,6.4104499999999995e-09,1.0834579999999995e-07,3.4680717999999985e-07,
93957-50-7,1.4901500000000003e-08,4.5640459999999994e-07,2.2523330799999985e-06,
10116-92-4,3.9705e-09,1.0510059999999996e-07,3.7114704399999927e-07,
19190-61-5,1.9265500000000002e-11,2.3902519999999997e-10,1.0009562599999983e-09,
68815-72-5,2.1297e-11,5.237631999999999e-10,2.1789600799999984e-09,
475-26-3,4.1171e-09,1.0815099999999997e-07,4.1192272399999913e-07,
2706-90-3,2.0787e-08,4.821673999999999e-07,1.5811409199999993e-06,
423-46-1,1.6581e-08,2.5910639999999975e-07,7.277406080000001e-07,
2058-94-8,2.14545e-10,6.466104e-09,2.5124637999999976e-08,
54739-18-3,6.1837999999999996e-12,1.6054939999999994e-10,6.438877239999995e-10,
423-65-4,9.0301e-11,2.792049999999999e-09,9.800902919999996e-09,
88974-05-4,1.4254e-08,4.164968e-07,1.8073064399999982e-06,
137641-05-5,8.81915e-09,2.5641859999999997e-07,1.126808839999999e-06,
1800-91-5,0.0,0.0,0.0,
423-73-4,3.61725e-11,8.284625999999995e-10,3.3177776399999974e-09,
19430-93-4,6.498749999999999e-10,7.899653999999998e-09,3.422205359999996e-08,
70124-77-5,6.633049999999999e-14,6.304641999999993e-10,2.0723447599999937e-08,
679-12-9,2.6520500000000002e-08,6.031235999999998e-07,1.8074636799999977e-06,
311-89-7,2.0613999999999996e-11,6.992553999999997e-10,4.186781679999993e-09,
6014-75-1,6.0295e-14,2.2839279999999976e-12,1.0962997199999992e-11,
32539-16-5,1.9807e-08,2.441947999999999e-07,6.143957639999999e-07,
