MolMass,bp,mp,pv,ks,kac,kba,kn,kds,kde,kdw,kow0,kaw0,dhaw,
176969-34-9,176.12,315.9,119.095,0.0001935,62.3,-999,-999,-999,1.13e-06,1.13e-06,1.13e-06,1.02,-6.54818,91641.0,
382-10-5,164.05,-15.635,-124.58,403990.3,0.903,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,2.85,2.869968,-999,
2218-54-4,236.021,254.86,67.5,365.5001,1010.0,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,0.275,-0.8025914,-999,
455-14-1,161.13,190.02,9.58,64.05065,9.07,-999,-999,8.712257e-10,1.13e-06,1.13e-06,1.13e-06,2.08,-3.7434,52052.0,
423-65-4,600.118,221.755,42.495,2.031544,5.43e-07,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.18,-0.065342903,-999,
136239-66-2,186.2,210.25,0.015650034,37.324,0.36913,-999,-999,-999,1.13e-06,1.13e-06,1.13e-06,3.3645,-1.380733,41485.0,
559-29-5,304.035,33.275,-95.26,72527.17,0.0080939997,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.525,2.83254,-999,
75-38-7,64.034,-40.36,-144.0,2492710.0,100.0,-999,-999,-999,1.13e-06,1.13e-06,1.13e-06,1.225,0.9655421,18742.0,
118-83-2,225.55,242.42,31.0,3.389,0.2286633,-999,-999,-999,2.8600001e-08,2.8600001e-08,2.8600001e-08,3.23,-2.251973,39015.0,
2043-55-2,373.988,125.165,-39.405,1999.83,6.4699998e-05,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.02,2.657482,-999,
68259-07-4,467.15,301.835,117.275,0.7400895,0.000334368,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.175,-7.006534,-999,
151772-59-7,412.059,224.3,43.055,1.921602,0.3886334,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.805,-5.585741,-999,
3871-50-9,607.21,366.205,150.935,4.87e-09,0.002063537,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.21,-2.82087,-999,
423-73-4,646.119,285.41,77.11,0.179985,5.4999997e-08,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.55,3.874,-999,
383-07-3,653.35,325.97,85.51,0.002493121,8.2899998e-09,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,8.04,-1.348578,-999,
