,2012/12/31_Cdis,2013/12/31_Cdis,
   9592893,    0.10920E-11,    0.58776E-11,
   9502863,    0.26175E-12,    0.14414E-12,
   9592147,    0.48835E-13,    0.20839E-12,
   9500394,    0.87231E-11,    0.73841E-11,
   9504225,    0.18434E-11,    0.18492E-11,
   9591171,    0.18133E-13,    0.15243E-13,
   9503131,    0.18632E-11,    0.30554E-11,
   9500251,    0.13828E-11,    0.25915E-11,
   9517317,    0.32004E-12,    0.58782E-12,
   9516959,    0.12644E-13,    0.52106E-14,
   9517058,    0.39401E-13,    0.17987E-13,
   9518190,    0.27605E-11,    0.45858E-11,
   9500290,    0.42490E-11,    0.65099E-11,
   9517110,    0.69860E-14,    0.10235E-14,
   9501276,    0.17336E-12,    0.27147E-12,
   9517078,    0.16921E-10,    0.34274E-10,
   9592979,    0.14242E-11,    0.23648E-11,
   9518478,    0.34788E-20,    0.16647E-17,
   9500244,    0.73719E-11,    0.67128E-11,
   9518000,    0.71971E-13,    0.58530E-14,
   9517102,    0.33789E-13,    0.94604E-14,
   9503181,    0.65212E-10,    0.10413E-09,
   9593226,    0.89705E-12,    0.32457E-11,
   9503422,    0.15762E-12,    0.92525E-12,
   9503091,    0.34279E-12,    0.12074E-12,
   9516979,    0.26547E-13,    0.26160E-13,
   9502864,    0.24202E-13,    0.16706E-13,
   9504502,    0.38106E-11,    0.58451E-11,
   9593084,    0.70857E-13,    0.12234E-13,
   9503288,    0.22315E-12,    0.74648E-13,
   9518231,    0.50790E-10,    0.61336E-10,
   9592969,    0.53758E-13,    0.56166E-14,
   9517020,    0.35011E-13,    0.82378E-14,
   9592908,    0.40636E-12,    0.40497E-14,
   9517184,    0.20875E-11,    0.89853E-11,
   9593198,    0.38397E-12,    0.42583E-14,
   9517000,    0.16483E-11,    0.40944E-11,
   9593131,    0.27749E-12,    0.19329E-11,
   9503011,    0.48591E-10,    0.73805E-10,
   9517692,    0.29456E-13,    0.58878E-14,
   9593015,    0.38359E-12,    0.43878E-14,
   9518708,    0.49433E-12,    0.15726E-11,
   9517993,    0.55744E-13,    0.36296E-13,
   9592997,    0.63154E-13,    0.27176E-14,
   9504583,    0.35647E-11,    0.56013E-11,
   9504577,    0.49093E-10,    0.56741E-10,
   9592901,    0.14259E-11,    0.20128E-11,
   9518335,    0.55648E-13,    0.36795E-13,
   9503254,    0.10826E-11,    0.20607E-11,
   9592938,    0.36925E-11,    0.24671E-10,
   9517654,    0.36412E-11,    0.64791E-11,
   9503242,    0.12946E-11,    0.26317E-11,
   9517657,    0.59784E-12,    0.13388E-11,
   9591199,    0.26918E-12,    0.53854E-12,
   9517129,    0.39418E-13,    0.18665E-13,
   9517768,    0.15503E-10,    0.24170E-10,
   9504277,    0.47652E-11,    0.11551E-10,
   9518144,    0.13498E-12,    0.22086E-13,
   9503189,    0.21785E-12,    0.12179E-12,
   9518234,    0.10899E-12,    0.61918E-13,
   9518825,    0.27080E-13,    0.13866E-13,
   9517540,    0.14300E-12,    0.73905E-13,
   9592834,    0.53615E-13,    0.42988E-14,
   9518310,    0.71322E-12,    0.16277E-11,
   9500259,    0.46499E-10,    0.56009E-10,
   9518051,    0.13725E-12,    0.22638E-13,
   9518710,    0.13175E-12,    0.23887E-12,
   9518088,    0.38079E-10,    0.69354E-10,
   9503345,    0.63176E-12,    0.24036E-11,
   9518496,    0.35107E-13,    0.80842E-13,
   9500250,    0.17228E-12,    0.23198E-12,
   9517763,    0.11518E-12,    0.61017E-13,
   9518821,    0.21250E-11,    0.30587E-11,
   9517394,    0.25602E-12,    0.86944E-12,
   9592940,    0.29507E-12,    0.48933E-14,
   9518474,    0.35929E-15,    0.43028E-15,
   9503167,    0.55855E-10,    0.66104E-10,
   9593142,    0.23800E-12,    0.10694E-13,
   9504475,    0.40429E-11,    0.95010E-11,
   9500249,    0.15238E-12,    0.19396E-12,
   9500847,    0.98213E-12,    0.13370E-11,
   9500623,    0.58654E-12,    0.80444E-12,
   9517590,    0.18469E-13,    0.89684E-14,
   9593027,    0.28084E-12,    0.17737E-11,
   9517659,    0.19460E-12,    0.63259E-12,
   9517516,    0.19106E-13,    0.88368E-14,
   9517646,    0.32160E-12,    0.19654E-11,
   9503702,    0.10326E-11,    0.26552E-11,
   9593112,    0.25783E-12,    0.10716E-13,
   9518146,    0.36505E-12,    0.86238E-12,
   9518104,    0.39395E-10,    0.50554E-10,
   9518447,    0.80793E-15,    0.59100E-15,
   9518194,    0.16663E-12,    0.70869E-13,
   9503260,    0.15539E-11,    0.27362E-11,
   9517745,    0.86770E-11,    0.26784E-10,
   9504188,    0.12248E-11,    0.12544E-11,
   9592841,    0.13065E-11,    0.49024E-11,
   9504380,    0.33210E-11,    0.65312E-11,
